Timestamp,Aircraft_ID,Engine_Model,Flight_Hours,Phase,Throttle,RPM,FuelFlow,EGT,OilTemp,OilPressure,Vibration,Severity,Health
2025-12-29 12:58:10.862800,HAL-HJT-01,Adour Mk-821,0.17,CRUISE,0.72,2029.4,1096.9,701.6,123.6,38.5,3.72,0.68,WARNING
2025-12-29 13:13:10.862800,HAL-HJT-01,Adour Mk-821,0.42,IDLE,0.3,929.8,740.2,574.8,75.1,54.0,1.27,0.02,NORMAL
2025-12-29 13:23:10.862800,HAL-HJT-01,Adour Mk-821,0.58,CRUISE,0.67,2050.8,1048.3,610.1,94.9,54.8,1.6,0.06,NORMAL
2025-12-29 13:33:10.862800,HAL-HJT-01,Adour Mk-821,0.75,DESCENT,0.43,1323.6,859.5,598.0,81.1,53.9,1.51,0.08,NORMAL
2025-12-29 13:43:10.862800,HAL-HJT-01,Adour Mk-821,0.92,IDLE,0.29,884.9,750.8,600.7,85.4,49.4,1.94,0.21,NORMAL
2025-12-29 13:53:10.862800,HAL-HJT-01,Adour Mk-821,1.08,TAKEOFF,0.97,3041.2,1347.5,650.1,104.4,58.4,1.5,0.04,NORMAL
2025-12-29 14:03:10.862800,HAL-HJT-01,Adour Mk-821,1.25,IDLE,0.29,838.0,763.2,614.7,101.3,41.2,3.49,0.58,WARNING
2025-12-29 14:13:10.862800,HAL-HJT-01,Adour Mk-821,1.42,IDLE,0.34,947.3,833.1,665.5,110.1,36.4,3.21,0.76,CRITICAL
2025-12-29 14:28:10.862800,HAL-HJT-01,Adour Mk-821,1.67,TAKEOFF,0.92,2660.1,1305.4,665.8,114.7,44.8,2.91,0.41,WARNING
2025-12-29 14:43:10.862800,HAL-HJT-01,Adour Mk-821,1.92,DESCENT,0.43,1288.5,868.5,596.6,88.0,50.4,1.83,0.18,NORMAL
2025-12-29 14:58:10.862800,HAL-HJT-01,Adour Mk-821,2.17,CRUISE,0.66,1981.2,1087.1,627.4,99.5,49.1,2.35,0.24,NORMAL
2025-12-29 15:08:10.862800,HAL-HJT-01,Adour Mk-821,2.33,IDLE,0.25,736.5,719.3,607.6,93.7,45.1,2.47,0.39,WARNING
2025-12-29 15:18:10.862800,HAL-HJT-01,Adour Mk-821,2.5,CRUISE,0.67,1971.0,1072.5,648.4,106.2,46.2,2.99,0.4,WARNING
2025-12-29 15:33:10.862800,HAL-HJT-01,Adour Mk-821,2.75,DESCENT,0.42,1125.9,939.0,657.9,122.6,34.0,3.87,0.88,CRITICAL
2025-12-29 15:43:10.862800,HAL-HJT-01,Adour Mk-821,2.92,CRUISE,0.72,2249.6,1121.8,628.1,96.4,51.5,2.11,0.16,NORMAL
2025-12-29 15:58:10.862800,HAL-HJT-01,Adour Mk-821,3.17,CRUISE,0.71,2108.2,1096.1,636.4,102.6,50.6,2.17,0.22,NORMAL
2025-12-29 16:08:10.862800,HAL-HJT-01,Adour Mk-821,3.33,DESCENT,0.43,1252.6,896.8,622.3,98.2,43.2,2.61,0.45,WARNING
2025-12-29 16:23:10.862800,HAL-HJT-01,Adour Mk-821,3.58,DESCENT,0.44,1311.4,873.1,607.3,93.1,50.9,2.15,0.24,NORMAL
2025-12-29 16:33:10.862800,HAL-HJT-01,Adour Mk-821,3.75,IDLE,0.29,827.2,773.9,630.1,96.4,44.0,2.24,0.48,WARNING
2025-12-29 16:43:10.862800,HAL-HJT-01,Adour Mk-821,3.92,CRUISE,0.71,2210.3,1054.7,632.5,99.2,50.9,2.2,0.16,NORMAL
2025-12-29 16:58:10.862800,HAL-HJT-01,Adour Mk-821,4.17,CRUISE,0.66,1946.6,1062.7,647.2,103.6,47.8,3.22,0.32,WARNING
2025-12-29 17:13:10.862800,HAL-HJT-01,Adour Mk-821,4.42,CRUISE,0.67,1999.1,1081.5,660.3,101.9,46.7,2.45,0.31,WARNING
2025-12-29 17:28:10.862800,HAL-HJT-01,Adour Mk-821,4.67,CRUISE,0.74,2272.6,1155.7,641.5,108.5,48.9,2.7,0.28,NORMAL
2025-12-29 17:43:10.862800,HAL-HJT-01,Adour Mk-821,4.92,CRUISE,0.7,1906.0,1146.0,685.4,126.4,34.8,4.72,0.82,CRITICAL
2025-12-29 17:58:10.862800,HAL-HJT-01,Adour Mk-821,5.17,CRUISE,0.65,1801.1,1156.2,669.2,129.5,33.7,4.14,0.86,CRITICAL
2025-12-29 18:13:10.862800,HAL-HJT-01,Adour Mk-821,5.42,TAKEOFF,0.99,2911.6,1335.8,685.5,120.2,46.8,3.05,0.34,WARNING
2025-12-29 18:28:10.862800,HAL-HJT-01,Adour Mk-821,5.67,DESCENT,0.47,1362.2,918.7,663.3,104.7,43.4,3.67,0.5,WARNING
2025-12-29 18:38:10.862800,HAL-HJT-01,Adour Mk-821,5.83,IDLE,0.26,792.9,702.5,584.8,80.8,49.6,1.9,0.21,NORMAL
2025-12-29 18:48:10.862800,HAL-HJT-01,Adour Mk-821,6.0,TAKEOFF,0.92,2871.0,1292.6,649.7,106.7,53.4,2.23,0.12,NORMAL
2025-12-29 19:03:10.862800,HAL-HJT-01,Adour Mk-821,6.25,DESCENT,0.42,1176.6,915.8,667.6,111.8,39.7,3.93,0.7,CRITICAL
2025-12-29 19:18:10.862800,HAL-HJT-01,Adour Mk-821,6.5,TAKEOFF,0.97,2567.3,1392.2,729.6,144.2,31.2,4.39,0.99,CRITICAL
2025-12-29 19:33:10.862800,HAL-HJT-01,Adour Mk-821,6.75,TAKEOFF,0.91,2632.1,1277.5,675.1,123.8,41.6,4.06,0.51,WARNING
2025-12-29 19:48:10.862800,HAL-HJT-01,Adour Mk-821,7.0,DESCENT,0.48,1350.4,975.3,650.2,112.6,37.7,3.8,0.69,WARNING
2025-12-29 19:58:10.862800,HAL-HJT-01,Adour Mk-821,7.17,CRUISE,0.74,1978.2,1196.2,722.2,133.1,29.8,5.26,1.0,CRITICAL
2025-12-29 20:08:10.862800,HAL-HJT-01,Adour Mk-821,7.33,CRUISE,0.65,1972.3,1065.9,620.8,103.1,46.8,2.1,0.25,NORMAL
2025-12-29 20:18:10.862800,HAL-HJT-01,Adour Mk-821,7.5,CRUISE,0.66,1986.9,1053.9,595.9,99.0,52.7,2.05,0.18,NORMAL
2025-12-29 20:33:10.862800,HAL-HJT-01,Adour Mk-821,7.75,TAKEOFF,0.97,2557.3,1405.6,750.2,139.9,32.6,3.63,0.93,CRITICAL
2025-12-29 20:43:10.862800,HAL-HJT-01,Adour Mk-821,7.92,IDLE,0.27,808.3,723.6,585.2,85.0,48.1,2.01,0.27,NORMAL
2025-12-29 20:53:10.862800,HAL-HJT-01,Adour Mk-821,8.08,CRUISE,0.74,2267.1,1118.7,609.6,100.9,52.8,1.56,0.1,NORMAL
2025-12-29 21:03:10.862800,HAL-HJT-01,Adour Mk-821,8.25,TAKEOFF,0.97,2922.9,1364.4,669.3,108.1,52.6,2.15,0.15,NORMAL
2025-12-29 21:18:10.862800,HAL-HJT-01,Adour Mk-821,8.5,CRUISE,0.69,2067.8,1048.7,612.2,100.9,49.7,1.64,0.22,NORMAL
2025-12-29 21:33:10.862800,HAL-HJT-01,Adour Mk-821,8.75,CRUISE,0.7,2027.0,1154.6,648.8,109.6,42.1,3.43,0.47,WARNING
2025-12-29 21:43:10.862800,HAL-HJT-01,Adour Mk-821,8.92,TAKEOFF,0.9,2538.6,1307.2,708.1,129.1,40.2,4.03,0.64,WARNING
2025-12-29 21:58:10.862800,HAL-HJT-01,Adour Mk-821,9.17,CRUISE,0.73,2183.1,1114.2,623.3,96.2,53.1,1.51,0.13,NORMAL
2025-12-29 22:08:10.862800,HAL-HJT-01,Adour Mk-821,9.33,DESCENT,0.45,1286.3,951.8,623.4,103.1,42.4,3.18,0.52,WARNING
2025-12-29 22:18:10.862800,HAL-HJT-01,Adour Mk-821,9.5,CRUISE,0.72,2254.7,1091.8,630.0,93.2,54.4,1.62,0.02,NORMAL
2025-12-29 22:33:10.862800,HAL-HJT-01,Adour Mk-821,9.75,CRUISE,0.71,2150.7,1114.0,650.5,100.2,51.9,2.6,0.18,NORMAL
2025-12-29 22:43:10.862800,HAL-HJT-01,Adour Mk-821,9.92,CRUISE,0.69,1829.9,1159.5,717.1,129.5,33.8,5.76,0.89,CRITICAL
2025-12-29 22:53:10.862800,HAL-HJT-01,Adour Mk-821,10.08,CRUISE,0.72,2221.3,1087.6,637.5,95.2,51.6,1.79,0.06,NORMAL
2025-12-29 23:03:10.862800,HAL-HJT-01,Adour Mk-821,10.25,IDLE,0.29,833.6,757.3,641.0,101.7,40.0,3.08,0.59,WARNING
2025-12-29 23:18:10.862800,HAL-HJT-01,Adour Mk-821,10.5,TAKEOFF,0.94,2599.6,1370.4,704.0,138.4,37.9,4.48,0.74,CRITICAL
2025-12-29 23:28:10.862800,HAL-HJT-01,Adour Mk-821,10.67,CRUISE,0.74,2303.3,1075.4,627.9,97.3,54.6,1.49,0.03,NORMAL
2025-12-29 23:43:10.862800,HAL-HJT-01,Adour Mk-821,10.92,CRUISE,0.69,1896.8,1139.3,695.6,128.8,34.5,4.53,0.84,CRITICAL
2025-12-29 23:53:10.862800,HAL-HJT-01,Adour Mk-821,11.08,CRUISE,0.69,2017.3,1074.2,644.2,104.0,48.0,2.54,0.31,WARNING
2025-12-30 00:03:10.862800,HAL-HJT-01,Adour Mk-821,11.25,TAKEOFF,0.94,2882.4,1255.0,647.3,110.8,51.1,2.69,0.19,NORMAL
2025-12-30 00:18:10.862800,HAL-HJT-01,Adour Mk-821,11.5,CRUISE,0.67,1740.8,1116.5,698.3,138.7,31.6,5.59,0.98,CRITICAL
2025-12-30 00:28:10.862800,HAL-HJT-01,Adour Mk-821,11.67,CRUISE,0.7,2127.5,1109.1,636.8,100.1,51.3,2.04,0.17,NORMAL
2025-12-30 00:43:10.862800,HAL-HJT-01,Adour Mk-821,11.92,CRUISE,0.67,1835.3,1090.4,703.3,119.6,39.0,3.06,0.7,CRITICAL
2025-12-30 00:58:10.862800,HAL-HJT-01,Adour Mk-821,12.17,CRUISE,0.69,2035.0,1096.6,639.5,103.8,47.0,2.41,0.29,NORMAL
2025-12-30 01:13:10.862800,HAL-HJT-01,Adour Mk-821,12.42,IDLE,0.28,829.5,730.2,592.2,84.1,49.5,1.85,0.25,NORMAL
2025-12-30 01:28:10.862800,HAL-HJT-01,Adour Mk-821,12.67,IDLE,0.29,901.6,743.1,559.3,76.2,56.6,1.46,0.08,NORMAL
2025-12-30 01:38:10.862800,HAL-HJT-01,Adour Mk-821,12.83,CRUISE,0.65,1908.1,1035.1,644.7,102.6,48.5,2.3,0.33,WARNING
2025-12-30 01:48:10.862800,HAL-HJT-01,Adour Mk-821,13.0,CRUISE,0.75,2151.2,1157.6,656.8,111.8,45.0,3.67,0.41,WARNING
